"Method_Name","Total_Number_Of_Lines","Cyclomatic_Complexity"
"ErrorProneJavacJavaCompiler.setupMessageBundle",3,0
"ErrorProneJavaCompiler.Constructor",3,0
"ErrorProneJavaCompiler.getSourceVersions",9,2
"ErrorProneJavaCompiler.getStandardFileManager",6,1
"ErrorProneJavaCompiler.getTask",22,2
"ErrorProneJavaCompiler.isSupportedOption",4,2
"ErrorProneJavaCompiler.run",3,1
"ExpressionMethodSelect.Constructor",3,0
"ExpressionMethodSelect.matches",7,2
"FallThroughSuppression.matchAnnotation",6,2
"FallThroughSuppression.processSuppressWarningsValues",3,1
"ForOverrideChecker.getOutermostClass",13,0
"ForOverrideChecker.getOverriddenMethods",28,0
"ForOverrideChecker.hasAnnotation",8,0
"ForOverrideChecker.matchMethod",16,0
"ForOverrideChecker.matchMethodInvocation",19,0
"GuardedByBinder.bind",6,0
"GuardedByBinder.bindExpression",14,0
"GuardedByBinder.bindSelect",6,0
"GuardedByBinder.bindString",13,0
"GuardedByBinder.computeBase",3,0
"GuardedByBinder.isEnclosedIn",10,0
"GuardedByBinder.normalizeBase",17,0
"GuardedByBinder.resolveEnclosingClass",3,0
"GuardedByBinder.resolveIdentifier",3,0
"GuardedByBinder.resolveMethod",3,0
"GuardedByBinder.resolveSelect",3,0
"GuardedByBinder.resolveTypeLiteral",3,0
"GuardedByBinder.visitIdentifier",30,0
"GuardedByBinder.visitMemberSelect",19,0
"GuardedByBinder.visitMethodInvocation",25,0
"GuardedByChecker.checkGuardedAccess",15,0
"GuardedByChecker.isRWLock",15,0
"GuardedByChecker.matchMethod",13,0
"GuardedByChecker.matchVariable",3,0
"GuardedByChecker.report",6,0
"GuardedBySymbolResolver.attribIdent",5,0
"GuardedBySymbolResolver.Constructor",8,0
"GuardedBySymbolResolver.context",3,0
"GuardedBySymbolResolver.enclosingClass",3,0
"GuardedBySymbolResolver.from",5,0
"GuardedBySymbolResolver.getField",3,0
"GuardedBySymbolResolver.getLexicallyEnclosing",13,0
"GuardedBySymbolResolver.getMember",28,0
"GuardedBySymbolResolver.getMethod",3,0
"GuardedBySymbolResolver.getName",3,0
"GuardedBySymbolResolver.getSuperType",8,0
"GuardedBySymbolResolver.resolveEnclosingClass",9,0
"GuardedBySymbolResolver.resolveIdentifier",25,0
"GuardedBySymbolResolver.resolveMethod",5,0
"GuardedBySymbolResolver.resolveSelect",6,0
"GuardedBySymbolResolver.resolveType",15,0
"GuardedBySymbolResolver.resolveTypeLiteral",9,0
"GuardedByUtils.getGuardValue",17,0
"GuardedByUtils.isGuardedByValid",22,0
"GuardedByUtils.parseString",15,0
"GuardedByValidator.matchMethod",3,1
"GuardedByValidator.matchVariable",3,1
"GuardedByValidator.validate",9,2
"GuiceAssistedInjectScoping.matchClass",12,0
"GuiceAssistedInjectScoping.matches",9,0
"GuiceAssistedParameters.describe",8,0
"GuiceAssistedParameters.matches",5,0
"GuiceAssistedParameters.matchVariable",39,0
"GuiceInjectOnFinalField.isField",5,0
"GuiceInjectOnFinalField.matches",3,0
"GuiceInjectOnFinalField.matchVariable",14,0
"GuiceOverridesGuiceInjectableMethod.isAnnotatedWith",9,2
"GuiceOverridesGuiceInjectableMethod.matchMethod",18,5
"GuiceOverridesJavaxInjectableMethod.findSuperMethod",10,3
"GuiceOverridesJavaxInjectableMethod.isAnnotatedWith",9,2
"GuiceOverridesJavaxInjectableMethod.matchMethod",25,6
"HasIdentifier.Constructor",3,0
"HasIdentifier.getMatchingNode",3,0
"HasIdentifier.matches",4,0
"HeldLockSet.allLocks",3,1
"HeldLockSet.Constructor",3,0
"HeldLockSet.empty",3,1
"HeldLockSet.plus",3,1
"HeldLockSet.plusAll",3,1
"HeldLockSet.toString",3,1
"IllegalGuardedBy.checkGuardedBy",5,2
"IllegalGuardedBy.checkGuardedBy",5,2
"IllegalGuardedBy.Constructor",3,0
"IllegalGuardedBy.toString",3,1
"IncompatibleModifiersChecker.matchAnnotation",24,0
"IndexedPosition.Constructor",4,0
"IndexedPosition.getEndPosition",3,1
"IndexedPosition.getPreferredPosition",3,1
"IndexedPosition.getStartPosition",3,1
"IndexedPosition.getTree",3,1
"InjectAssistedInjectAndInjectOnConstructors.matchAnnotation",16,5
"InjectAssistedInjectAndInjectOnSameConstructor.matchAnnotation",11,0
"InjectAssistedInjectAndInjectOnSameConstructor.matches",6,0
"InjectedConstructorAnnotations.isInjectedConstructor",4,0
"InjectedConstructorAnnotations.matches",4,0
"InjectedConstructorAnnotations.matchMethod",23,0
"InjectInvalidTargetingOnScopingAnnotation.describe",24,3
"InjectInvalidTargetingOnScopingAnnotation.matchClass",21,9
"InjectJavaxInjectOnAbstractMethod.isAbstract",3,0
"InjectJavaxInjectOnAbstractMethod.isMethod",3,0
"InjectJavaxInjectOnAbstractMethod.matchAnnotation",10,0
"InjectJavaxInjectOnAbstractMethod.matches",4,0
"InjectJavaxInjectOnFinalField.getAnnotatedNode",3,0
"InjectJavaxInjectOnFinalField.isField",5,0
"InjectJavaxInjectOnFinalField.matchAnnotation",8,0
"InjectJavaxInjectOnFinalField.matches",3,0
"InjectMoreThanOneInjectableConstructor.describe",11,3
"InjectMoreThanOneInjectableConstructor.matchMethod",13,6
"InjectMoreThanOneQualifier.getSiblingAnnotations",3,1
"InjectMoreThanOneQualifier.matchAnnotation",14,4
"InjectMoreThanOneScopeAnnotationOnClass.matchAnnotation",17,5
"InjectOverlappingQualifierAndScopeAnnotation.getAnnotationTypeFromMetaAnnotation",3,0
"InjectOverlappingQualifierAndScopeAnnotation.matchAnnotation",10,0
"InjectOverlappingQualifierAndScopeAnnotation.matches",7,0
"InjectScopeAnnotationOnInterfaceOrAbstractClass.getCurrentlyAnnotatedNode",3,0
"InjectScopeAnnotationOnInterfaceOrAbstractClass.matchAnnotation",9,0
"InjectScopeAnnotationOnInterfaceOrAbstractClass.matches",4,0
"InjectScopeOrQualifierAnnotationRetention.describe",22,3
"InjectScopeOrQualifierAnnotationRetention.matchClass",12,5
"InstanceMethod.Constructor",4,0
"InstanceMethod.matches",20,8
"InstanceMethod.methodReceiverMatcher",4,1
